fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6,white
7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,white
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,white
6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7,white
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,white
7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6,white
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6,white
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,white
6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,5,white
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,white
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,white
5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7,white
7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5,white
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,white
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6,white
6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6,white
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6,white
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6,white
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,red
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6,white
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5,white
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,white
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6,white
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6,white
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5,white
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,white
6.1,0.17,0.27,1.5,0.056,45,135,0.9924,3.2,0.43,10.2,6,white
6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5,white
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,white
6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,white
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5,white
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,white
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,white
5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7,white
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6,white
6.9,0.19,0.32,7.9,0.042,30,130,0.99456,3.4,0.39,10.5,6,white
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,white
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5,white
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7,red
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5,white
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6,white
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5,white
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6,white
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6,white
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6,white
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6,white
8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5,white
6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6,white
6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7,white
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6,white
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,red
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,white
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6,white
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5,white
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6,red
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,red
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,white
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,red
6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,white
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,white
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7,white
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6,white
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8,white
5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7,white
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,white
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,white
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,white
5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,white
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6,white
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5,white
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6,white
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5,red
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,red
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.73333333,6,white
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4,white
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,red
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,white
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5,white
7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6,white
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,white
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,white
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,7,white
9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,5,white
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,white
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6,white
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,white
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,red
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,white
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,white
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,white
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6,white
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,red
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6,white
5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7,white
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5,white
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6,white
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,red
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,white
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5,white
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7,white
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,white
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,white
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6,white
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,red
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,red
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,white
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,white
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5,white
6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6,white
8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6,white
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,white
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,white
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,red
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.13333333,7,white
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,white
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,white
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7,white
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,white
7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6,white
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6,white
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,white
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,white
5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6,white
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5,white
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6,white
6.6,0.21,0.39,2.3,0.041,31,102,0.99221,3.22,0.58,10.9,7,white
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,white
6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6,white
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,red
6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6,white
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,white
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,white
7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6,white
8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6,white
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,white
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6,white
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,red
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6,white
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6,white
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5,white
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,red
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,red
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7,white
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,white
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6,white
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,red
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,white
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6,white
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,white
6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,white
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,white
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,5,white
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,red
6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,white
10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,6,white
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6,white
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,white
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,white
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7,white
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7,white
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6,white
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,red
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,white
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,red
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,red
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,white
6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,white
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7,white
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6,white
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7,white
6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7,white
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,red
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,white
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,white
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7,white
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,red
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,white
5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6,white
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,white
7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7,white
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5,red
8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6,white
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6,white
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7,white
5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5,white
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5,white
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,white
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,red
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5,white
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,red
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,white
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,white
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,red
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,red
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,red
5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,white
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,white
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5,red
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,red
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6,white
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5,red
7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7,white
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,white
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,red
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,red
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,red
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,white
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5,red
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7,white
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,white
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6,white
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,white
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,white
6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6,white
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,white
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6,white
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,white
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7,red
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,red
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,red
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,white
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6,white
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,white
6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,white
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6,white
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6,white
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,red
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,white
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,white
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,white
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,white
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6,white
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,white
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,white
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,white
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,white
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,white
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,white
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,red
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,white
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,white
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,white
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,white
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4,white
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,white
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,white
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,red
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6,white
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,red
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,white
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,white
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,white
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,white
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7,white
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6,white
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,red
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,red
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,white
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,white
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,red
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,red
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,white
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,red
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,red
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6,white
